# Wavelength (microns) index
0.54; 2.6754
0.58; 2.6312
0.62; 2.5994
0.66; 2.5755
0.70; 2.5568
0.74; 2.5418
0.78; 2.5295
0.82; 2.5193
0.86; 2.5107
0.90; 2.5034
0.94; 2.4971
0.98; 2.4916
1.00; 2.4892
1.40; 2.4609
1.80; 2.4496
2.20; 2.4437
2.60; 2.4401
3.00; 2.4376
3.40; 2.4356
3.80; 2.4339
4.20; 2.4324
4.60; 2.4309
5.00; 2.4295
5.40; 2.4281
5.80; 2.4266
6.20; 2.4251
6.60; 2.4235
7.00; 2.4218
7.40; 2.4201
7.80; 2.4183
8.20; 2.4163
8.60; 2.4143
9.00; 2.4122
9.40; 2.4100
9.80; 2.4077
10.20; 2.4053
10.60; 2.4028
11.00; 2.4001
11.40; 2.3974
11.80; 2.3945
12.20; 2.3915
12.60; 2.3883
13.00; 2.3850
13.40; 2.3816
13.80; 2.3781
14.20; 2.3744
14.60; 2.3705
15.00; 2.3665
15.40; 2.3623
15.80; 2.3579
16.20; 2.3534
16.60; 2.3487
17.00; 2.3438
17.40; 2.3387
17.80; 2.3333
18.20; 2.3278
